Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
249.706, 20.337, -34.186, -0.094, 0.003, 5.540, 247.188, 19.992
250.099, 19.659, -33.894, 14.598, 0.003, 5.560, 247.581, 19.993
250.479, 18.992, -33.339, 27.740, 0.002, 5.580, 247.961, 19.994
250.846, 18.336, -32.783, 27.807, 0.002, 5.600, 248.327, 19.995
251.200, 17.692, -32.226, 27.873, 0.002, 5.620, 248.681, 19.996
251.541, 17.058, -31.667, 27.940, 0.002, 5.640, 249.022, 19.996
251.869, 16.436, -31.107, 28.007, 0.002, 5.660, 249.351, 19.997
252.186, 15.825, -30.545, 28.073, 0.001, 5.680, 249.668, 19.997
252.490, 15.226, -29.983, 28.138, 0.001, 5.700, 249.972, 19.998
252.783, 14.637, -29.419, 28.203, 0.001, 5.720, 250.265, 19.998
253.064, 14.060, -28.853, 28.267, 0.001, 5.740, 250.546, 19.999
253.334, 13.495, -28.287, 28.329, 0.001, 5.760, 250.816, 19.999
253.593, 12.940, -27.719, 28.391, 0.001, 5.780, 251.075, 19.999
253.841, 12.397, -27.150, 28.452, 0.001, 5.800, 251.323, 19.999
254.078, 11.866, -26.580, 28.511, 0.001, 5.820, 251.560, 19.999
254.305, 11.345, -26.008, 28.569, 0.001, 5.840, 251.787, 19.999
254.522, 10.837, -25.436, 28.625, 0.000, 5.860, 252.004, 20.000
254.729, 10.340, -24.862, 28.680, 0.000, 5.880, 252.210, 20.000
254.926, 9.854, -24.288, 28.733, 0.000, 5.900, 252.408, 20.000
255.113, 9.380, -23.712, 28.784, 0.000, 5.920, 252.595, 20.000
255.292, 8.917, -23.135, 28.834, 0.000, 5.940, 252.773, 20.000
255.461, 8.466, -22.558, 28.881, 0.000, 5.960, 252.943, 20.000
255.622, 8.026, -21.979, 28.928, 0.000, 5.980, 253.103, 20.000
255.774, 7.598, -21.400, 28.972, 0.000, 6.000, 253.255, 20.000
