Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
206.735, 59.619, -33.910, -33.192, 0.086, 4.460, 204.261, 38.368
207.914, 58.927, -34.571, -33.018, 0.083, 4.480, 205.435, 38.467
209.078, 58.223, -35.227, -32.839, 0.080, 4.500, 206.596, 38.561
210.229, 57.506, -35.848, -31.026, 0.077, 4.520, 207.742, 38.651
211.364, 56.783, -36.162, -15.687, 0.074, 4.540, 208.875, 38.736
212.485, 56.059, -36.201, -1.986, 0.071, 4.560, 209.993, 38.817
213.592, 55.334, -36.238, -1.815, 0.068, 4.580, 211.097, 38.894
214.684, 54.608, -36.271, -1.647, 0.066, 4.600, 212.187, 38.967
215.762, 53.882, -36.300, -1.482, 0.063, 4.620, 213.262, 39.037
216.825, 53.156, -36.327, -1.320, 0.060, 4.640, 214.323, 39.102
217.874, 52.429, -36.350, -1.161, 0.058, 4.660, 215.370, 39.164
218.908, 51.702, -36.370, -1.006, 0.055, 4.680, 216.403, 39.222
219.927, 50.974, -36.387, -0.854, 0.053, 4.700, 217.421, 39.278
220.932, 50.246, -36.401, -0.706, 0.051, 4.720, 218.424, 39.330
221.922, 49.518, -36.412, -0.562, 0.048, 4.740, 219.413, 39.379
222.898, 48.789, -36.421, -0.422, 0.046, 4.760, 220.388, 39.425
223.859, 48.061, -36.427, -0.286, 0.044, 4.780, 221.348, 39.468
224.806, 47.332, -36.430, -0.155, 0.042, 4.800, 222.294, 39.508
225.738, 46.603, -36.430, -0.028, 0.040, 4.820, 223.225, 39.547
226.656, 45.875, -36.428, 0.095, 0.038, 4.840, 224.142, 39.582
227.558, 45.146, -36.424, 0.213, 0.036, 4.860, 225.044, 39.616
228.447, 44.418, -36.418, 0.327, 0.034, 4.880, 225.932, 39.647
229.321, 43.690, -36.409, 0.436, 0.032, 4.900, 226.805, 39.676
230.180, 42.962, -36.398, 0.541, 0.031, 4.920, 227.664, 39.703
231.025, 42.234, -36.385, 0.641, 0.029, 4.940, 228.509, 39.728
231.855, 41.507, -36.370, 0.736, 0.027, 4.960, 229.338, 39.752
232.670, 40.780, -36.354, 0.827, 0.026, 4.980, 230.154, 39.773
233.471, 40.053, -36.336, 0.914, 0.024, 5.000, 230.954, 39.793
