Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
106.238, 1.534, -9.864, 30.344, 6.283, 4.520, 99.851, -40.000
106.265, 1.349, -9.260, 30.213, 6.283, 4.540, 99.878, -40.000
106.288, 1.175, -8.658, 30.098, 6.283, 4.560, 99.901, -40.000
106.309, 1.014, -8.058, 29.997, 6.283, 4.580, 99.921, -40.000
106.326, 0.865, -7.460, 29.908, 6.283, 4.600, 99.939, -40.000
106.341, 0.728, -6.863, 29.832, 6.283, 4.620, 99.953, -40.000
106.353, 0.602, -6.268, 29.767, 6.283, 4.640, 99.965, -40.000
106.362, 0.489, -5.674, 29.713, 6.283, 4.660, 99.975, -40.000
106.370, 0.387, -5.080, 29.669, 6.283, 4.680, 99.983, -40.000
106.376, 0.298, -4.488, 29.633, 6.283, 4.700, 99.989, -40.000
106.380, 0.220, -3.895, 29.605, 6.283, 4.720, 99.993, -40.000
106.384, 0.154, -3.304, 29.583, 6.283, 4.740, 99.996, -40.000
106.386, 0.099, -2.712, 29.568, 6.283, 4.760, 99.998, -40.000
106.387, 0.057, -2.121, 29.558, 6.283, 4.780, 99.999, -40.000
106.387, 0.026, -1.530, 29.551, 6.283, 4.800, 100.000, -40.000
106.387, 0.007, -0.939, 29.548, 6.283, 4.820, 100.000, -40.000
106.387, 0.001, -0.348, 29.547, 0.000, 4.840, 100.000, -40.000
106.387, 0.000, -0.026, 16.096, 0.000, 4.860, 100.000, -40.000
